Exch	ExchType	Name	Expiry	ScripType	StrikeRate	LotSize	QtyLimit	ScripCode
N	D	NIFTY 26 JUN 2025 CE 19200.00	6/26/2025	CE	19200	75	1800	61875
N	D	NIFTY 26 JUN 2025 PE 19200.00	6/26/2025	PE	19200	75	1800	61876
N	D	NIFTY 26 JUN 2025 CE 19250.00	6/26/2025	CE	19250	75	1800	61877
N	D	NIFTY 26 JUN 2025 PE 19250.00	6/26/2025	PE	19250	75	1800	61878
N	D	NIFTY 26 JUN 2025 CE 19300.00	6/26/2025	CE	19300	75	1800	61879
N	D	NIFTY 26 JUN 2025 PE 19300.00	6/26/2025	PE	19300	75	1800	61880
N	D	NIFTY 26 JUN 2025 CE 19350.00	6/26/2025	CE	19350	75	1800	61881
N	D	NIFTY 26 JUN 2025 PE 19350.00	6/26/2025	PE	19350	75	1800	61882
N	D	NIFTY 26 JUN 2025 CE 19400.00	6/26/2025	CE	19400	75	1800	61883
N	D	NIFTY 26 JUN 2025 PE 19400.00	6/26/2025	PE	19400	75	1800	61884
N	D	NIFTY 26 JUN 2025 CE 19450.00	6/26/2025	CE	19450	75	1800	61885
N	D	NIFTY 26 JUN 2025 PE 19450.00	6/26/2025	PE	19450	75	1800	61886
N	D	NIFTY 26 JUN 2025 CE 19500.00	6/26/2025	CE	19500	75	1800	61887
N	D	NIFTY 26 JUN 2025 PE 19500.00	6/26/2025	PE	19500	75	1800	61888
N	D	NIFTY 26 JUN 2025 CE 19550.00	6/26/2025	CE	19550	75	1800	61889
N	D	NIFTY 26 JUN 2025 PE 19550.00	6/26/2025	PE	19550	75	1800	61890
N	D	NIFTY 26 JUN 2025 CE 19600.00	6/26/2025	CE	19600	75	1800	61891
N	D	NIFTY 26 JUN 2025 PE 19600.00	6/26/2025	PE	19600	75	1800	61892
N	D	NIFTY 26 JUN 2025 CE 19650.00	6/26/2025	CE	19650	75	1800	61893
N	D	NIFTY 26 JUN 2025 PE 19650.00	6/26/2025	PE	19650	75	1800	61894
N	D	NIFTY 26 JUN 2025 CE 19700.00	6/26/2025	CE	19700	75	1800	61895
N	D	NIFTY 26 JUN 2025 PE 19700.00	6/26/2025	PE	19700	75	1800	61896
N	D	NIFTY 26 JUN 2025 CE 19750.00	6/26/2025	CE	19750	75	1800	61897
N	D	NIFTY 26 JUN 2025 PE 19750.00	6/26/2025	PE	19750	75	1800	61898
N	D	NIFTY 26 JUN 2025 CE 19800.00	6/26/2025	CE	19800	75	1800	61899
N	D	NIFTY 26 JUN 2025 PE 19800.00	6/26/2025	PE	19800	75	1800	61900
N	D	NIFTY 26 JUN 2025 CE 19850.00	6/26/2025	CE	19850	75	1800	61901
N	D	NIFTY 26 JUN 2025 PE 19850.00	6/26/2025	PE	19850	75	1800	61902
N	D	NIFTY 26 JUN 2025 CE 19900.00	6/26/2025	CE	19900	75	1800	61903
N	D	NIFTY 26 JUN 2025 PE 19900.00	6/26/2025	PE	19900	75	1800	61904
N	D	NIFTY 26 JUN 2025 CE 19950.00	6/26/2025	CE	19950	75	1800	61905
N	D	NIFTY 26 JUN 2025 PE 19950.00	6/26/2025	PE	19950	75	1800	61906
N	D	NIFTY 26 JUN 2025 CE 20050.00	6/26/2025	CE	20050	75	1800	61907
N	D	NIFTY 26 JUN 2025 PE 20050.00	6/26/2025	PE	20050	75	1800	62030
N	D	NIFTY 26 JUN 2025 CE 20100.00	6/26/2025	CE	20100	75	1800	62031
